#m800
GPU "heft online" "heft offline" "error1" "error2" "overhead"
0 0.0351925214 0.0366387035266667 0.00321959 0.00469663022601961 0.00491267596709766
1 0.0172069390466667 0.01364719062 0.00352373133333333 0.00230742302428785 0.00182294588782617
2 0.0191797415466667 0.0160604315733333 0.00377230666666667 0.00256640123955213 0.00214877667509454
8 0.0223261515266667 0.0165138554933333 0.00729359066666667 0.00303198891175664 0.00222585199177351


#m1000
GPU "heft online" "heft offline" "error1" "error2" "overhead"
0 0.06253881454 0.0673326494533333 0.00322477 0.00834476510850068 0.0090444605943411
1 0.0232160886133333 0.02111965782 0.00363623333333333 0.00310338394835282 0.00281696924209002
2 0.0229659875133333 0.02163442 0.00376650466666667 0.003074507563287 0.00290756207414157
4 0.0280011211357143 0.0279415997142857 0.00896116857142857 0.00116590003556341 0.00103285309539257
8 0.02551415762 0.02353750842 0.00735160533333333 0.00342287168697177 0.00315559957117397
